Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Duncan Robinson,26,72,72,2262,315,717,.439,250,613,.408,65,104,.625,.614,62,75,.827,7,243,250,127,43,20,81,181,942
2,Bam Adebayo,23,64,64,2143,456,800,.570,2,8,.250,454,792,.573,.571,283,354,.799,142,431,573,346,75,66,169,145,1197
3,Jimmy Butler,31,52,52,1745,366,736,.497,25,102,.245,341,634,.538,.514,359,416,.863,94,265,359,369,108,18,109,71,1116
4,Kendrick Nunn,25,56,44,1650,319,658,.485,122,320,.381,197,338,.583,.578,56,60,.933,21,158,179,148,52,14,80,108,816
5,Tyler Herro,21,54,15,1635,307,699,.439,107,297,.360,200,402,.498,.516,94,117,.803,25,243,268,184,35,17,101,71,815
6,Andre Iguodala,37,63,5,1339,95,248,.383,60,182,.330,35,66,.530,.504,25,38,.658,38,183,221,142,57,35,67,90,275
7,Goran Dragić,34,50,11,1337,240,555,.432,91,244,.373,149,311,.479,.514,101,122,.828,25,144,169,219,33,8,118,113,672
8,Kelly Olynyk,29,43,38,1157,162,376,.431,77,243,.317,85,133,.639,.533,31,40,.775,44,217,261,91,40,26,55,123,432
9,Trevor Ariza,35,30,27,841,99,241,.411,50,143,.350,49,98,.500,.515,34,44,.773,27,117,144,55,31,18,21,55,282
10,Precious Achiuwa,21,61,4,737,124,228,.544,0,1,.000,124,227,.546,.544,56,110,.509,73,135,208,29,20,28,43,91,304
11,Gabe Vincent,24,50,7,655,88,233,.378,46,149,.309,42,84,.500,.476,20,23,.870,10,46,56,67,21,2,34,79,242
12,Max Strus,24,39,0,507,85,187,.455,50,148,.338,35,39,.897,.588,16,24,.667,5,36,41,24,11,2,8,43,236
13,KZ Okpala,21,37,9,447,36,96,.375,12,50,.240,24,46,.522,.438,8,15,.533,21,47,68,19,10,11,15,59,92
14,Avery Bradley,30,10,1,211,31,66,.470,16,38,.421,15,28,.536,.591,7,9,.778,2,16,18,14,7,1,9,26,85
15,Dewayne Dedmon,31,16,0,210,46,65,.708,1,5,.200,45,60,.750,.715,20,27,.741,28,58,86,12,9,6,13,36,113
16,Nemanja Bjelica,32,11,2,156,20,46,.435,10,27,.370,10,19,.526,.543,5,9,.556,5,22,27,20,7,3,5,20,55
17,Maurice Harkless,27,11,3,124,5,13,.385,5,11,.455,0,2,.000,.577,0,2,.000,2,11,13,7,2,4,3,14,15
18,Victor Oladipo,28,4,4,111,16,43,.372,4,17,.235,12,26,.462,.419,12,18,.667,3,11,14,14,7,2,14,13,48
19,Chris Silva,24,11,0,83,9,13,.692,1,1,1.000,8,12,.667,.731,11,15,.733,7,18,25,6,1,5,9,20,30
20,Meyers Leonard,28,3,2,29,3,7,.429,3,7,.429,0,0,,.643,1,2,.500,0,7,7,2,0,0,2,5,10
21,Udonis Haslem,40,1,0,3,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,4
