Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kyle Lowry,35,39,39,1333,174,422,.412,81,248,.327,93,174,.534,.508,94,111,.847,24,150,174,323,40,15,119,109,523
2,Tyler Herro,22,38,10,1250,290,675,.430,100,258,.388,190,417,.456,.504,106,121,.876,25,160,185,153,24,6,106,54,786
3,Duncan Robinson,27,43,38,1180,169,437,.387,129,366,.352,40,71,.563,.534,29,36,.806,17,119,136,63,30,9,34,113,496
4,P.J. Tucker,36,40,39,1131,121,246,.492,54,119,.454,67,127,.528,.602,27,39,.692,63,158,221,85,31,11,38,89,323
5,Jimmy Butler,32,28,28,932,200,416,.481,12,50,.240,188,366,.514,.495,188,214,.879,51,113,164,164,52,11,55,35,600
6,Caleb Martin,26,36,9,833,134,259,.517,37,100,.370,97,159,.610,.589,40,56,.714,45,99,144,34,38,19,30,62,345
7,Max Strus,25,35,8,833,142,312,.455,94,228,.412,48,84,.571,.606,31,40,.775,15,105,120,46,11,7,25,54,409
8,Gabe Vincent,25,37,13,826,120,273,.440,64,166,.386,56,107,.523,.557,26,34,.765,15,56,71,112,33,10,56,80,330
9,Bam Adebayo,24,21,21,690,145,280,.518,0,1,.000,145,279,.520,.518,102,133,.767,55,154,209,68,26,11,61,65,392
10,Dewayne Dedmon,32,39,15,664,103,173,.595,12,21,.571,91,152,.599,.630,42,55,.764,74,170,244,31,16,20,40,87,260
11,Omer Yurtseven,23,36,10,545,98,188,.521,1,7,.143,97,181,.536,.524,32,50,.640,66,165,231,41,15,18,34,66,229
12,KZ Okpala,22,21,0,244,30,69,.435,9,26,.346,21,43,.488,.500,8,11,.727,11,30,41,14,4,7,5,25,77
13,Markieff Morris,32,10,0,187,32,70,.457,8,22,.364,24,48,.500,.514,5,5,1.000,13,15,28,14,3,1,12,22,77
14,Kyle Guy,24,8,0,133,22,47,.468,11,28,.393,11,19,.579,.585,4,5,.800,1,9,10,15,4,1,6,9,59
15,Marcus Garrett,23,12,0,128,5,21,.238,1,4,.250,4,17,.235,.262,2,5,.400,9,14,23,7,5,3,2,16,13
16,Chris Silva,25,7,0,63,8,13,.615,0,0,,8,13,.615,.615,8,10,.800,10,16,26,3,0,0,4,13,24
17,Udonis Haslem,41,8,0,52,10,20,.500,1,2,.500,9,18,.500,.525,3,3,1.000,4,13,17,2,1,1,2,11,24
18,Haywood Highsmith,25,4,0,42,4,8,.500,4,7,.571,0,1,.000,.750,0,0,,2,3,5,0,0,1,0,3,12
19,Nik Stauskas,28,2,0,24,3,8,.375,2,4,.500,1,4,.250,.500,3,4,.750,1,2,3,1,0,0,0,1,11
